Surroundings,あたり,辺り
Market,市場,市場
Thread,糸,糸
Life,いのち,命
Rock,いわ,岩
Horse,うま,馬
ShellFish,かい,貝
Type/Style,かた,型
Story/Tale,ものがたり,物語
side,がわ,側
Herbage/grass,くさ,草
Homeroom/class,くみ,組
clouds,くも,曇
hair/fur,け,毛
Rice,こめ,米
Alcohol,おさけ,お酒
Ball,たま,玉
Wife,つま,妻
Shrine,てら,寺
Children,こども,子供
Roots,ね,根
Leaf,は,葉
Field,はたけ,畑
Stars,ほし,星
Window,まど,窓
All/Everbody,みん,皆
Olden days/Former,むかし,昔
Insect,むし,虫
Snow,ゆき,雪
Hit/Strike,うつ,打つ
Push,おす,押す
Drop down/Fall,おちる,落ちる
Fold,おる,折る
Compare,くらべる,比べる
Go further than intended,のりこす,乗り越す
Crowded,こむ,込む
Kill,ころす,殺す
Cry,なく,泣く
Throw,なげる,投げる
Arrange/Line up,ならべる,並べる
Pay,はらう,払う
Go to meet/Welcome,むかえる,迎える
Call,よぶ,呼ぶ
Crossover,わたる,渡る
Laugh,わらう,笑う
Wool/Yarn,けいと,毛糸
Large/Big,おおがた,大型
outside,そとがわ,外側
TV Program/Broadcast,ばんぐみ,番組
Wool/Yarn,けいと,毛糸
Onion,たまねぎ,玉ねぎ
Roots,やね,屋根
Ticket Window,まどぐち,窓口
Everyone,みんさん,皆さん
Heavy snow/ Snowstorm,おおゆき,大雪
Closet,おしいれ,押し入れ
Calm/Composed,おちつく,落ち着く
Break,おれる,折れる
Move/ Relocate,ひっこし,引っ越し
Line up,ならぶ,並ぶ
Handover,わたす,渡す
Lost property,おとしもの,落とし物